C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:224 SL:243
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:236 SL:243
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:242 SL:243
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:251 SL:243
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:263 SL:243
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:269 SL:243
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:278 SL:243
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:290 SL:243
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:296 SL:243
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:305 SL:243
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:317 SL:243
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:323 SL:243
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:332 SL:243
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:  3 SL:244
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:  9 SL:244
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 18 SL:244
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 30 SL:244
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 36 SL:244
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 45 SL:244
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 57 SL:244
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 63 SL:244
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 72 SL:244
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 84 SL:244
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 90 SL:244
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 99 SL:244
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:111 SL:244
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:117 SL:244
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:126 SL:244
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:138 SL:244
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:144 SL:244
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:153 SL:244
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:165 SL:244
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:171 SL:244
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:180 SL:244
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:192 SL:244
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:198 SL:244
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:207 SL:244
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:219 SL:244
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:225 SL:244
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:234 SL:244
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:246 SL:244
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:252 SL:244
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:261 SL:244
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:273 SL:244
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:279 SL:244
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:288 SL:244
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:300 SL:244
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:306 SL:244
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:315 SL:244
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:327 SL:244
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:333 SL:244
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:  1 SL:245
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 13 SL:245
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 19 SL:245
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 28 SL:245
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 40 SL:245
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 46 SL:245
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 55 SL:245
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 67 SL:245
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 73 SL:245
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 82 SL:245
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 94 SL:245
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:100 SL:245
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:109 SL:245
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:121 SL:245
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:127 SL:245
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:136 SL:245
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:148 SL:245
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:154 SL:245
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:163 SL:245
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:175 SL:245
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:181 SL:245
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:190 SL:245
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:202 SL:245
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:208 SL:245
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:217 SL:245
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:229 SL:245
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:235 SL:245
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:244 SL:245
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:256 SL:245
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:262 SL:245
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:271 SL:245
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:283 SL:245
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:289 SL:245
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:298 SL:245
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:310 SL:245
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:316 SL:245
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:325 SL:245
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:337 SL:245
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:  2 SL:246
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 11 SL:246
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 23 SL:246
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 29 SL:246
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 38 SL:246
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 50 SL:246
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 56 SL:246
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 65 SL:246
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 77 SL:246
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 83 SL:246
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 92 SL:246
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:104 SL:246
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:110 SL:246
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:119 SL:246
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:131 SL:246
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:137 SL:246
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:146 SL:246
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:158 SL:246
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:164 SL:246
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:173 SL:246
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:185 SL:246
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:191 SL:246
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:200 SL:246
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:212 SL:246
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:218 SL:246
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:227 SL:246
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:239 SL:246
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:245 SL:246
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:254 SL:246
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:266 SL:246
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:272 SL:246
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:281 SL:246
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:293 SL:246
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:299 SL:246
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:308 SL:246
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:320 SL:246
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:326 SL:246
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:335 SL:246
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:  6 SL:247
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 12 SL:247
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 21 SL:247
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 33 SL:247
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 39 SL:247
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 48 SL:247
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 60 SL:247
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 66 SL:247
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 75 SL:247
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 87 SL:247
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 93 SL:247
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:102 SL:247
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:114 SL:247
